,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
Illinois,Heart disease (angina or CHD),18+,2014,Percent,4%
Illinois,Heart disease (angina or CHD),18+,2014,Num of persons,"98,405"
Illinois,Heart disease (angina or CHD),18+,2015,Percent,6%
Illinois,Heart disease (angina or CHD),18+,2015,Num of persons,"134,563"
Illinois,Heart disease (angina or CHD),18+,2016,Percent,4%
Illinois,Heart disease (angina or CHD),18+,2016,Num of persons,"102,426"
Illinois,High cholesterol (among those tested),18+,2013,Percent,41%
Illinois,High cholesterol (among those tested),18+,2013,Num of persons,"694,844"
Illinois,High cholesterol (among those tested),18+,2014,Percent,NA
Illinois,High cholesterol (among those tested),18+,2014,Num of persons,NA
Illinois,High cholesterol (among those tested),18+,2015,Percent,40%
Illinois,High cholesterol (among those tested),18+,2015,Num of persons,"734,846"
Illinois,High cholesterol (among those tested),18+,2016,Percent,NA
Illinois,High cholesterol (among those tested),18+,2016,Num of persons,NA
Illinois,Hypertension,18+,2013,Percent,33%
Illinois,Hypertension,18+,2013,Num of persons,"845,193"
Illinois,Hypertension,18+,2014,Percent,NA
Illinois,Hypertension,18+,2014,Num of persons,NA
Illinois,Hypertension,18+,2015,Percent,35%
Illinois,Hypertension,18+,2015,Num of persons,"840,460"
Illinois,Hypertension,18+,2016,Percent,NA
Illinois,Hypertension,18+,2016,Num of persons,NA
Indiana,Arthritis,18+,2013,Percent,35%
Indiana,Arthritis,18+,2013,Num of persons,"455,673"
Indiana,Arthritis,18+,2014,Percent,37%
Indiana,Arthritis,18+,2014,Num of persons,"503,058"
Indiana,Arthritis,18+,2015,Percent,34%
Indiana,Arthritis,18+,2015,Num of persons,"417,883"
Indiana,Arthritis,18+,2016,Percent,37%
Indiana,Arthritis,18+,2016,Num of persons,"480,346"
Indiana,Asthma (current),18+,2013,Percent,15%
Indiana,Asthma (current),18+,2013,Num of persons,"189,334"
Indiana,Asthma (current),18+,2014,Percent,16%
Indiana,Asthma (current),18+,2014,Num of persons,"210,448"
Indiana,Asthma (current),18+,2015,Percent,16%
Indiana,Asthma (current),18+,2015,Num of persons,"193,183"
Indiana,Asthma (current),18+,2016,Percent,15%
Indiana,Asthma (current),18+,2016,Num of persons,"197,859"
Indiana,Cancer,18+,2013,Percent,11%
Indiana,Cancer,18+,2013,Num of persons,"140,510"
Indiana,Cancer,18+,2014,Percent,11%
Indiana,Cancer,18+,2014,Num of persons,"151,264"
Indiana,Cancer,18+,2015,Percent,12%
Indiana,Cancer,18+,2015,Num of persons,"151,540"
Indiana,Cancer,18+,2016,Percent,12%
Indiana,Cancer,18+,2016,Num of persons,"153,934"
Indiana,Chronic kidney disease,18+,2013,Percent,4%
Indiana,Chronic kidney disease,18+,2013,Num of persons,"49,783"
Indiana,Chronic kidney disease,18+,2014,Percent,5%
Indiana,Chronic kidney disease,18+,2014,Num of persons,"64,981"
Indiana,Chronic kidney disease,18+,2015,Percent,4%
Indiana,Chronic kidney disease,18+,2015,Num of persons,"45,718"
Indiana,Chronic kidney disease,18+,2016,Percent,4%
Indiana,Chronic kidney disease,18+,2016,Num of persons,"53,104"
Indiana,COPD,18+,2013,Percent,15%
Indiana,COPD,18+,2013,Num of persons,"190,171"
Indiana,COPD,18+,2014,Percent,17%
Indiana,COPD,18+,2014,Num of persons,"222,825"
Indiana,COPD,18+,2015,Percent,14%
Indiana,COPD,18+,2015,Num of persons,"176,754"
Indiana,COPD,18+,2016,Percent,15%
Indiana,COPD,18+,2016,Num of persons,"194,474"
Indiana,Depression,18+,2013,Percent,28%
Indiana,Depression,18+,2013,Num of persons,"372,039"
Indiana,Depression,18+,2014,Percent,32%
Indiana,Depression,18+,2014,Num of persons,"433,014"
Indiana,Depression,18+,2015,Percent,29%
Indiana,Depression,18+,2015,Num of persons,"352,686"
Indiana,Depression,18+,2016,Percent,26%
Indiana,Depression,18+,2016,Num of persons,"331,775"
Indiana,Diabetes,18+,2013,Percent,14%
Indiana,Diabetes,18+,2013,Num of persons,"178,486"
Indiana,Diabetes,18+,2014,Percent,15%
Indiana,Diabetes,18+,2014,Num of persons,"207,321"
Indiana,Diabetes,18+,2015,Percent,14%
Indiana,Diabetes,18+,2015,Num of persons,"175,778"
Indiana,Diabetes,18+,2016,Percent,18%
Indiana,Diabetes,18+,2016,Num of persons,"230,816"
Indiana,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Indiana,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"88,993"
Indiana,Pre-diabetes or borderline diabetes,18+,2014,Percent,7%
Indiana,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"89,689"
Indiana,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Indiana,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"22,780"
Indiana,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
Indiana,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"21,064"
Indiana,Heart disease (angina or CHD),18+,2013,Percent,6%
Indiana,Heart disease (angina or CHD),18+,2013,Num of persons,"82,485"
Indiana,Heart disease (angina or CHD),18+,2014,Percent,7%
Indiana,Heart disease (angina or CHD),18+,2014,Num of persons,"98,183"
Indiana,Heart disease (angina or CHD),18+,2015,Percent,6%
Indiana,Heart disease (angina or CHD),18+,2015,Num of persons,"79,096"
Indiana,Heart disease (angina or CHD),18+,2016,Percent,7%
Indiana,Heart disease (angina or CHD),18+,2016,Num of persons,"91,499"
Indiana,High cholesterol (among those tested),18+,2013,Percent,43%
Indiana,High cholesterol (among those tested),18+,2013,Num of persons,"385,838"
Indiana,High cholesterol (among those tested),18+,2014,Percent,NA
Indiana,High cholesterol (among those tested),18+,2014,Num of persons,NA
Indiana,High cholesterol (among those tested),18+,2015,Percent,46%
Indiana,High cholesterol (among those tested),18+,2015,Num of persons,"382,762"
Indiana,High cholesterol (among those tested),18+,2016,Percent,NA
Indiana,High cholesterol (among those tested),18+,2016,Num of persons,NA
Indiana,Hypertension,18+,2013,Percent,36%
Indiana,Hypertension,18+,2013,Num of persons,"479,120"
Indiana,Hypertension,18+,2014,Percent,NA
Indiana,Hypertension,18+,2014,Num of persons,NA
Indiana,Hypertension,18+,2015,Percent,37%
Indiana,Hypertension,18+,2015,Num of persons,"461,732"
Indiana,Hypertension,18+,2016,Percent,NA
Indiana,Hypertension,18+,2016,Num of persons,NA
Kansas,Arthritis,18+,2013,Percent,29%
Kansas,Arthritis,18+,2013,Num of persons,"151,618"
Kansas,Arthritis,18+,2014,Percent,31%
Kansas,Arthritis,18+,2014,Num of persons,"148,402"
Kansas,Arthritis,18+,2015,Percent,30%
Kansas,Arthritis,18+,2015,Num of persons,"135,400"
Kansas,Arthritis,18+,2016,Percent,31%
Kansas,Arthritis,18+,2016,Num of persons,"132,627"
Kansas,Asthma (current),18+,2013,Percent,12%
Kansas,Asthma (current),18+,2013,Num of persons,"62,879"
Kansas,Asthma (current),18+,2014,Percent,13%
Kansas,Asthma (current),18+,2014,Num of persons,"60,872"
Kansas,Asthma (current),18+,2015,Percent,12%
Kansas,Asthma (current),18+,2015,Num of persons,"53,232"
Kansas,Asthma (current),18+,2016,Percent,13%
Kansas,Asthma (current),18+,2016,Num of persons,"55,999"
Kansas,Cancer,18+,2013,Percent,12%
Kansas,Cancer,18+,2013,Num of persons,"60,267"
Kansas,Cancer,18+,2014,Percent,11%
Kansas,Cancer,18+,2014,Num of persons,"53,555"
Kansas,Cancer,18+,2015,Percent,12%
Kansas,Cancer,18+,2015,Num of persons,"54,340"
Kansas,Cancer,18+,2016,Percent,11%
Kansas,Cancer,18+,2016,Num of persons,"45,913"
Kansas,Chronic kidney disease,18+,2013,Percent,3%
Kansas,Chronic kidney disease,18+,2013,Num of persons,"16,940"
Kansas,Chronic kidney disease,18+,2014,Percent,4%
Kansas,Chronic kidney disease,18+,2014,Num of persons,"19,938"
Kansas,Chronic kidney disease,18+,2015,Percent,4%
Kansas,Chronic kidney disease,18+,2015,Num of persons,"20,017"
Kansas,Chronic kidney disease,18+,2016,Percent,4%
Kansas,Chronic kidney disease,18+,2016,Num of persons,"17,565"
Kansas,COPD,18+,2013,Percent,11%
Kansas,COPD,18+,2013,Num of persons,"58,603"
Kansas,COPD,18+,2014,Percent,12%
Kansas,COPD,18+,2014,Num of persons,"57,382"
Kansas,COPD,18+,2015,Percent,11%
Kansas,COPD,18+,2015,Num of persons,"49,941"
Kansas,COPD,18+,2016,Percent,12%
Kansas,COPD,18+,2016,Num of persons,"51,508"
Kansas,Depression,18+,2013,Percent,27%
Kansas,Depression,18+,2013,Num of persons,"140,464"
Kansas,Depression,18+,2014,Percent,29%
Kansas,Depression,18+,2014,Num of persons,"136,124"
Kansas,Depression,18+,2015,Percent,30%
Kansas,Depression,18+,2015,Num of persons,"134,702"
Kansas,Depression,18+,2016,Percent,25%
Kansas,Depression,18+,2016,Num of persons,"105,257"
Kansas,Diabetes,18+,2013,Percent,13%
Kansas,Diabetes,18+,2013,Num of persons,"67,833"
Kansas,Diabetes,18+,2014,Percent,14%
Kansas,Diabetes,18+,2014,Num of persons,"67,957"
Kansas,Diabetes,18+,2015,Percent,14%
Kansas,Diabetes,18+,2015,Num of persons,"61,200"
Kansas,Diabetes,18+,2016,Percent,13%
Kansas,Diabetes,18+,2016,Num of persons,"54,410"
Kansas,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
Kansas,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"7,966"
Kansas,Pre-diabetes or borderline diabetes,18+,2014,Percent,2%
Kansas,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"9,315"
Kansas,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Kansas,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"7,103"
Kansas,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
Kansas,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"6,501"
Kansas,Heart disease (angina or CHD),18+,2013,Percent,6%
Kansas,Heart disease (angina or CHD),18+,2013,Num of persons,"31,147"
Kansas,Heart disease (angina or CHD),18+,2014,Percent,6%
Kansas,Heart disease (angina or CHD),18+,2014,Num of persons,"28,022"
Kansas,Heart disease (angina or CHD),18+,2015,Percent,5%
Kansas,Heart disease (angina or CHD),18+,2015,Num of persons,"24,236"
Kansas,Heart disease (angina or CHD),18+,2016,Percent,6%
Kansas,Heart disease (angina or CHD),18+,2016,Num of persons,"24,022"
Kansas,High cholesterol (among those tested),18+,2013,Percent,41%
Kansas,High cholesterol (among those tested),18+,2013,Num of persons,"134,288"
Kansas,High cholesterol (among those tested),18+,2014,Percent,NA
Kansas,High cholesterol (among those tested),18+,2014,Num of persons,NA
Kansas,High cholesterol (among those tested),18+,2015,Percent,42%
Kansas,High cholesterol (among those tested),18+,2015,Num of persons,"118,806"
Kansas,High cholesterol (among those tested),18+,2016,Percent,NA
Kansas,High cholesterol (among those tested),18+,2016,Num of persons,NA
Kansas,Hypertension,18+,2013,Percent,34%
Kansas,Hypertension,18+,2013,Num of persons,"178,284"
Kansas,Hypertension,18+,2014,Percent,NA
Kansas,Hypertension,18+,2014,Num of persons,NA
Kansas,Hypertension,18+,2015,Percent,36%
Kansas,Hypertension,18+,2015,Num of persons,"161,005"
Kansas,Hypertension,18+,2016,Percent,NA
Kansas,Hypertension,18+,2016,Num of persons,NA
Kentucky,Arthritis,18+,2013,Percent,43%
Kentucky,Arthritis,18+,2013,Num of persons,"301,438"
Kentucky,Arthritis,18+,2014,Percent,45%
Kentucky,Arthritis,18+,2014,Num of persons,"438,448"
Kentucky,Arthritis,18+,2015,Percent,45%
Kentucky,Arthritis,18+,2015,Num of persons,"282,937"
Kentucky,Arthritis,18+,2016,Percent,47%
Kentucky,Arthritis,18+,2016,Num of persons,"388,156"
Kentucky,Asthma (current),18+,2013,Percent,14%
Kentucky,Asthma (current),18+,2013,Num of persons,"94,982"
Kentucky,Asthma (current),18+,2014,Percent,16%
Kentucky,Asthma (current),18+,2014,Num of persons,"155,948"
Kentucky,Asthma (current),18+,2015,Percent,23%
Kentucky,Asthma (current),18+,2015,Num of persons,"143,336"
Kentucky,Asthma (current),18+,2016,Percent,18%
Kentucky,Asthma (current),18+,2016,Num of persons,"150,258"
Kentucky,Cancer,18+,2013,Percent,14%
Kentucky,Cancer,18+,2013,Num of persons,"100,831"
Kentucky,Cancer,18+,2014,Percent,16%
Kentucky,Cancer,18+,2014,Num of persons,"158,281"
Kentucky,Cancer,18+,2015,Percent,15%
Kentucky,Cancer,18+,2015,Num of persons,"96,967"
Kentucky,Cancer,18+,2016,Percent,14%
Kentucky,Cancer,18+,2016,Num of persons,"115,320"
Kentucky,Chronic kidney disease,18+,2013,Percent,4%
Kentucky,Chronic kidney disease,18+,2013,Num of persons,"27,478"
Kentucky,Chronic kidney disease,18+,2014,Percent,5%
Kentucky,Chronic kidney disease,18+,2014,Num of persons,"46,804"
Kentucky,Chronic kidney disease,18+,2015,Percent,5%
Kentucky,Chronic kidney disease,18+,2015,Num of persons,"30,399"
Kentucky,Chronic kidney disease,18+,2016,Percent,6%
Kentucky,Chronic kidney disease,18+,2016,Num of persons,"47,316"
Kentucky,COPD,18+,2013,Percent,20%
Kentucky,COPD,18+,2013,Num of persons,"141,528"
Kentucky,COPD,18+,2014,Percent,21%
Kentucky,COPD,18+,2014,Num of persons,"198,992"
Kentucky,COPD,18+,2015,Percent,24%
Kentucky,COPD,18+,2015,Num of persons,"149,825"
Kentucky,COPD,18+,2016,Percent,22%
Kentucky,COPD,18+,2016,Num of persons,"183,903"
Kentucky,Depression,18+,2013,Percent,32%
Kentucky,Depression,18+,2013,Num of persons,"222,281"
Kentucky,Depression,18+,2014,Percent,36%
Kentucky,Depression,18+,2014,Num of persons,"351,452"
Kentucky,Depression,18+,2015,Percent,34%
Kentucky,Depression,18+,2015,Num of persons,"215,401"
Kentucky,Depression,18+,2016,Percent,38%
Kentucky,Depression,18+,2016,Num of persons,"314,309"
Kentucky,Diabetes,18+,2013,Percent,14%
Kentucky,Diabetes,18+,2013,Num of persons,"100,768"
Kentucky,Diabetes,18+,2014,Percent,16%
Kentucky,Diabetes,18+,2014,Num of persons,"156,411"
Kentucky,Diabetes,18+,2015,Percent,20%
Kentucky,Diabetes,18+,2015,Num of persons,"127,902"
Kentucky,Diabetes,18+,2016,Percent,18%
Kentucky,Diabetes,18+,2016,Num of persons,"150,283"
Kentucky,Pre-diabetes or borderline diabetes,18+,2013,Percent,10%
Kentucky,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"68,845"
Kentucky,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
Kentucky,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"74,288"
Kentucky,Pre-diabetes or borderline diabetes,18+,2015,Percent,7%
Kentucky,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"47,271"
Kentucky,Pre-diabetes or borderline diabetes,18+,2016,Percent,10%
Kentucky,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"85,854"
Kentucky,Heart disease (angina or CHD),18+,2013,Percent,10%
Kentucky,Heart disease (angina or CHD),18+,2013,Num of persons,"65,817"
Kentucky,Heart disease (angina or CHD),18+,2014,Percent,8%
Kentucky,Heart disease (angina or CHD),18+,2014,Num of persons,"76,983"
Kentucky,Heart disease (angina or CHD),18+,2015,Percent,10%
Kentucky,Heart disease (angina or CHD),18+,2015,Num of persons,"60,777"
Kentucky,Heart disease (angina or CHD),18+,2016,Percent,10%
Kentucky,Heart disease (angina or CHD),18+,2016,Num of persons,"81,854"
Kentucky,High cholesterol (among those tested),18+,2013,Percent,52%
Kentucky,High cholesterol (among those tested),18+,2013,Num of persons,"262,359"
Kentucky,High cholesterol (among those tested),18+,2014,Percent,NA
Kentucky,High cholesterol (among those tested),18+,2014,Num of persons,NA
Kentucky,High cholesterol (among those tested),18+,2015,Percent,50%
Kentucky,High cholesterol (among those tested),18+,2015,Num of persons,"224,097"
Kentucky,High cholesterol (among those tested),18+,2016,Percent,NA
Kentucky,High cholesterol (among those tested),18+,2016,Num of persons,NA
Kentucky,Hypertension,18+,2013,Percent,47%
Kentucky,Hypertension,18+,2013,Num of persons,"331,750"
Kentucky,Hypertension,18+,2014,Percent,NA
Kentucky,Hypertension,18+,2014,Num of persons,NA
Kentucky,Hypertension,18+,2015,Percent,46%
Kentucky,Hypertension,18+,2015,Num of persons,"296,218"
Kentucky,Hypertension,18+,2016,Percent,NA
Kentucky,Hypertension,18+,2016,Num of persons,NA
Louisiana,Arthritis,18+,2013,Percent,34%
Louisiana,Arthritis,18+,2013,Num of persons,"385,904"
Louisiana,Arthritis,18+,2014,Percent,34%
Louisiana,Arthritis,18+,2014,Num of persons,"362,425"
Louisiana,Arthritis,18+,2015,Percent,38%
Louisiana,Arthritis,18+,2015,Num of persons,"364,047"
Louisiana,Arthritis,18+,2016,Percent,35%
Louisiana,Arthritis,18+,2016,Num of persons,"374,411"
Louisiana,Asthma (current),18+,2013,Percent,12%
Louisiana,Asthma (current),18+,2013,Num of persons,"130,794"
Louisiana,Asthma (current),18+,2014,Percent,12%
Louisiana,Asthma (current),18+,2014,Num of persons,"128,115"
Louisiana,Asthma (current),18+,2015,Percent,12%
Louisiana,Asthma (current),18+,2015,Num of persons,"110,913"
Louisiana,Asthma (current),18+,2016,Percent,12%
Louisiana,Asthma (current),18+,2016,Num of persons,"125,979"
Louisiana,Cancer,18+,2013,Percent,12%
Louisiana,Cancer,18+,2013,Num of persons,"130,863"
Louisiana,Cancer,18+,2014,Percent,10%
Louisiana,Cancer,18+,2014,Num of persons,"112,637"
Louisiana,Cancer,18+,2015,Percent,12%
Louisiana,Cancer,18+,2015,Num of persons,"117,046"
Louisiana,Cancer,18+,2016,Percent,10%
Louisiana,Cancer,18+,2016,Num of persons,"106,529"
Louisiana,Chronic kidney disease,18+,2013,Percent,3%
Louisiana,Chronic kidney disease,18+,2013,Num of persons,"34,812"
Louisiana,Chronic kidney disease,18+,2014,Percent,5%
Louisiana,Chronic kidney disease,18+,2014,Num of persons,"50,556"
Louisiana,Chronic kidney disease,18+,2015,Percent,5%
Louisiana,Chronic kidney disease,18+,2015,Num of persons,"48,095"
Louisiana,Chronic kidney disease,18+,2016,Percent,4%
Louisiana,Chronic kidney disease,18+,2016,Num of persons,"38,856"
Louisiana,COPD,18+,2013,Percent,11%
Louisiana,COPD,18+,2013,Num of persons,"123,191"
Louisiana,COPD,18+,2014,Percent,13%
Louisiana,COPD,18+,2014,Num of persons,"137,847"
Louisiana,COPD,18+,2015,Percent,14%
Louisiana,COPD,18+,2015,Num of persons,"137,573"
Louisiana,COPD,18+,2016,Percent,13%
Louisiana,COPD,18+,2016,Num of persons,"138,054"
Louisiana,Depression,18+,2013,Percent,27%
Louisiana,Depression,18+,2013,Num of persons,"299,408"
Louisiana,Depression,18+,2014,Percent,27%
Louisiana,Depression,18+,2014,Num of persons,"294,658"
Louisiana,Depression,18+,2015,Percent,28%
Louisiana,Depression,18+,2015,Num of persons,"265,335"
Louisiana,Depression,18+,2016,Percent,29%
Louisiana,Depression,18+,2016,Num of persons,"310,162"
Louisiana,Diabetes,18+,2013,Percent,15%
Louisiana,Diabetes,18+,2013,Num of persons,"171,285"
Louisiana,Diabetes,18+,2014,Percent,15%
Louisiana,Diabetes,18+,2014,Num of persons,"164,844"
Louisiana,Diabetes,18+,2015,Percent,21%
Louisiana,Diabetes,18+,2015,Num of persons,"197,946"
Louisiana,Diabetes,18+,2016,Percent,16%
Louisiana,Diabetes,18+,2016,Num of persons,"172,279"
Louisiana,Pre-diabetes or borderline diabetes,18+,2013,Percent,9%
Louisiana,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"102,725"
Louisiana,Pre-diabetes or borderline diabetes,18+,2014,Percent,9%
Louisiana,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"101,906"
Louisiana,Pre-diabetes or borderline diabetes,18+,2015,Percent,7%
Louisiana,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"69,120"
Louisiana,Pre-diabetes or borderline diabetes,18+,2016,Percent,7%
Louisiana,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"76,341"
Louisiana,Heart disease (angina or CHD),18+,2013,Percent,7%
Louisiana,Heart disease (angina or CHD),18+,2013,Num of persons,"75,449"
Louisiana,Heart disease (angina or CHD),18+,2014,Percent,8%
Louisiana,Heart disease (angina or CHD),18+,2014,Num of persons,"83,733"
Louisiana,Heart disease (angina or CHD),18+,2015,Percent,8%
Louisiana,Heart disease (angina or CHD),18+,2015,Num of persons,"79,010"
